id;suspicious_status;suspicious_note;question;extra
50;0;;The expert concluded that [it:t.Personal,s3n] was a breakthrough discovery.;Эксперт пришёл к выводу, что это было прорывное открытие.
51;0;;They agreed that [it:t.Personal,s3n] was the right decision.;Они согласились, что это было правильное решение.
52;0;;My friends and I realized that [we:t.Personal,p1] needed a new plan.;Мои друзья и я поняли, что нам нужен новый план.
53;0;;The manager reminded us that [we:t.Personal,p1] had to finish by noon.;Менеджер напомнил нам, что мы должны закончить к полудню.
54;0;;They knew that [we:t.Personal,p1] were trying our best.;Они знали, что мы старались изо всех сил.
55;0;;The instructor told us that [we:t.Personal,p1] needed more practice.;Инструктор сказал нам, что нам нужно больше практики.
56;0;;We insisted that [we:t.Personal,p1] should try again.;Мы настаивали, что мы должны попробовать снова.
57;0;;They mentioned that [we:t.Personal,p1] had the necessary experience.;Они упомянули, что у нас был необходимый опыт.
58;0;;We learned that [they:t.Personal,p3] had already left.;Мы узнали, что они уже ушли.
59;0;;The scientist explained why [they:t.Personal,p3] changed the experiment.;Учёный объяснил, почему они изменили эксперимент.
60;0;;The journalist reported that [they:t.Personal,p3] had discovered new evidence.;Журналист сообщил, что они обнаружили новые доказательства.
61;0;;She commented that [they:t.Personal,p3] seemed very confident.;Она прокомментировала, что они казались очень уверенными.
62;0;;It was obvious that [they:t.Personal,p3] needed help.;Было очевидно, что им нужна помощь.
63;0;;The report stated that [they:t.Personal,p3] had reached an agreement.;В отчёте говорилось, что они достигли соглашения.
64;0;;It was my brother who helped me move, not my neighbor.;Это мой брат помог мне переехать, а не сосед.
65;0;;I heard a voice in the hallway. Was it your father?;Я услышал голос в коридоре. Это был твой отец?
66;0;;It was Sarah who told me the truth, not Mark.;Это Сара сказала мне правду, а не Марк.
67;0;;Was it your sister I saw at the mall yesterday?;Это была твоя сестра, кого я видел вчера в торговом центре?
68;0;;It wasn’t John who called you, it was Mike.;Это был не Джон, кто тебе звонил, а Майк.
69;0;;It was my best friend who stood by me through hard times.;Это мой лучший друг поддерживал меня в трудные времена.
70;0;;It wasn’t the teacher who gave us extra homework, it was the principal.;Это не учитель дал нам дополнительное задание, а директор.
71;0;;Was it Lisa who won the competition?;Это Лиза выиграла соревнование?
72;0;;It was my uncle who took me to the airport.;Это мой дядя отвез меня в аэропорт.
73;0;;It wasn’t your idea, it was mine.;Это была не твоя идея, а моя.
74;0;;[It:t.Personal](The dog) is barking loudly.; Он/Она лает громко.
75;0;;[It:t.Personal](The bird) is flying in the sky.; Она летит в небе.
76;0;;[It:t.Personal](The cat) is hiding under the bed.; Он/Она прячется под кроватью.
77;0;;[It:t.Personal](The rabbit) is eating a carrot.; Он/Она ест морковь.
78;0;;[It:t.Personal](The fish) is swimming in the tank.; Она плавает в аквариуме.
79;0;;[It:t.Personal](The cow) is standing in the field.; Она стоит в поле.
80;0;;[It:t.Personal](The horse) is running fast.; Он/Она быстро бежит.
81;0;;[It:t.Personal](The spider) is crawling on the wall.; Он/Она ползёт по стене.
82;0;;[It:t.Personal](The bee) is buzzing around the flower.; Она жужжит вокруг цветка.
83;0;;[It:t.Personal](The squirrel) is climbing the tree.; Она карабкается на дерево.
84;0;;I gave the cat some food, but [it:t.Personal] didn’t eat anything.; Я дал коту еды, но он ничего не съел.
85;0;;The dog wagged its tail when [it:t.Personal] saw me.; Собака виляла хвостом, когда увидела меня.
86;0;;The rabbit was hiding in the bush, but I saw [it:t.Personal].; Кролик прятался в кустах, но я его увидел.
87;0;;My parrot can talk, but sometimes [it:t.Personal] just whistles.; Мой попугай умеет говорить, но иногда просто насвистывает.
88;0;;I saw a fox last night, but [it:t.Personal] ran away quickly.; Я видел лису прошлой ночью, но она быстро убежала.
89;0;;The stray dog was shivering because [it:t.Personal] was cold outside.; Бродячая собака дрожала, потому что на улице было холодно.
90;0;;I saw a squirrel, but [it:t.Personal] climbed the tree before I could take a picture.; Я увидел белку, но она забралась на дерево, прежде чем я успел сделать фото.
91;0;;The fish looks sick. [It:t.Personal] hasn’t been eating.; Рыба выглядит больной. Она ничего не ела.
92;0;;My hamster loves running on its wheel, and [it:t.Personal] never gets tired.; Мой хомяк любит бегать в своем колесе и никогда не устаёт.
93;0;;The snake was motionless, but I wasn’t sure if [it:t.Personal] was alive.; Змея была неподвижна, но я не был уверен, жива ли она.
94;0;;A bee flew into the room, but [it:t.Personal] left through the open window.; Пчела залетела в комнату, но вылетела через открытое окно.
95;0;;The owl opened its eyes when [it:t.Personal] heard a noise.; Сова открыла глаза, когда услышала шум.
96;0;;I tried to pet the rabbit, but [it:t.Personal] hopped away.; Я попытался погладить кролика, но он отпрыгнул.
97;0;;The kitten looks sleepy. [It:t.Personal] has been playing all day.; Котёнок выглядит сонным. Он играл весь день.
98;0;;The baby is crying because [it:t.Personal] is hungry.; Младенец плачет, потому что он голоден.
99;0;;I picked up the newborn, and [it:t.Personal] stopped crying.; Я поднял новорождённого, и он перестал плакать.
100;0;;The infant was sleeping peacefully, but then [it:t.Personal] woke up.; Младенец спокойно спал, но потом проснулся.
101;0;;"We don’t know the baby’s gender yet, so we just call [it:t.Personal] ""the little one"".";" Мы ещё не знаем пол ребёнка, поэтому просто называем его ""малышом""."
102;0;;The baby kicked its legs when [it:t.Personal] heard music.; Младенец замахал ногами, когда услышал музыку.
103;0;;Look at this cute baby! [It:t.Personal] is smiling at you.; Посмотри на этого милого младенца! Он тебе улыбается.
104;0;;The newborn grabbed my finger and held onto [it:t.Personal] tightly.; Новорождённый схватил мой палец и крепко за него держался.
105;0;;I heard the baby laughing, but I didn’t see where [it:t.Personal] was.; Я услышал, как младенец смеётся, но не увидел, где он.
106;0;;The baby sneezed, and [it:t.Personal] looked so adorable.; Младенец чихнул, и это выглядело так мило.
107;0;;She wrapped the newborn in a blanket so [it:t.Personal] wouldn’t get cold.; Она завернула новорождённого в одеяло, чтобы ему не было холодно.
108; 0;;Nobody knows what [they:t.Personal] are doing all the time.; Никто не знает, что делает всё время.
109; 0;;Someone said [they:t.Personal] would be here by noon.; Кто-то сказал, что они будут здесь к полудню.
110; 0;;If anyone arrives early, [they:t.Personal] can wait in the lobby.; Если кто-то придёт рано, они могут подождать в холле.
111; 0;;Every employee should ensure [they:t.Personal] meet the deadline.; Каждый сотрудник должен убедиться, что они уложились в срок.
112; 0;;Everybody thinks [they:t.Personal] know best. ; Каждый думает, что он знает лучше всех. 
113; 0;;No one should feel like [they:t.Personal] are alone. ; Никто не должен чувствовать себя одиноким. 
114; 0;;Anyone can join if [they:t.Personal] are interested. ; Любой может присоединиться, если ему интересно. 
115; 0;;Someone forgot [they:t.Personal] umbrella. ; Кто-то забыл свой зонтик. 
116; 0;;If a student has questions, [they:t.Personal] should ask the teacher. ; Если у студента есть вопросы, он должен спросить учителя. 
117;0;;[We:t.Personal,e.Royal], the King of France, decree that all taxes shall be lowered.; Мы, король Франции, постановляем снизить все налоги.
118;0;;[We:t.Personal,e.Royal] have always ruled with wisdom and fairness.; Мы всегда правили с мудростью и справедливостью.
119;0;;As sovereign of this land, [we:t.Personal,e.Royal] shall not tolerate treason.; Как повелитель этой земли, мы не потерпим предательства.
120;0;;[We:t.Personal,e.Royal] hereby declare this war to be just and necessary.; Мы настоящим объявляем эту войну справедливой и необходимой.
121;0;;[We:t.Personal,e.Royal] are most pleased with the loyalty of our subjects.; Мы чрезвычайно довольны преданностью наших подданных.
122;0;;[We:t.Personal,e.Authorial] propose a new approach to solving this equation.; Мы предлагаем новый подход к решению этого уравнения.
123;0;;In this paper, [we:t.Personal,e.Authorial] examine the effects of climate change on biodiversity.; В данной статье мы изучаем влияние изменения климата на биоразнообразие.
124;0;;[We:t.Personal,e.Authorial] have found that increasing temperature correlates with higher metabolic rates.; Мы обнаружили, что повышение температуры коррелирует с увеличением скорости метаболизма.
125;0;;[We:t.Personal,e.Authorial] believe that our findings contribute significantly to the field of neuroscience.; Мы полагаем, что наши выводы вносят значительный вклад в область нейронауки.
126;0;;[We:t.Personal,e.Authorial] conclude that further research is needed to confirm these results.; Мы заключаем, что необходимы дополнительные исследования для подтверждения этих результатов.
127;0;;[We:t.Personal,e.Patronizing] are not feeling well today, are we?; Мы сегодня плохо себя чувствуем, не так ли? (врач пациенту)
128;0;;Ah, [we:t.Personal,e.Patronizing] have been a little naughty, haven’t we?; Ах, мы немножко шалили, да? (взрослый ребёнку)
129;0;;[We:t.Personal,e.Patronizing] must remember to take our medicine every morning.; Мы должны помнить, что принимаем наше лекарство каждое утро. (медсестра пациенту)
130;0;;Are [we:t.Personal,e.Patronizing] ready for our big speech today?; Мы готовы к нашему важному выступлению сегодня? (учитель ученику)
131;0;;[We:t.Personal,e.Patronizing] seem to have forgotten our manners.; Мы, кажется, забыли про хорошие манеры. (покровительственный тон)
132;0;;[You and I] should go to the gym together. (I, you); Мы с тобой должны пойти в спортзал вместе.
133;0;;[You and I] should work on this project together. (I, you); Мы с тобой должны работать над этим проектом вместе.
134;0;;[She and I] have been friends since childhood. (I, she); Мы с ней друзья с детства.
135;0;;[She and I] went to the same high school. (I, she); Мы с ней ходили в одну среднюю школу.
136;0;;[David and I] studied at the same university. (I, David); Мы с Дэвидом учились в одном университете.
137;0;;[Jessica and I] are preparing for the test. (I, Jessica); Мы с Джессикой готовимся к тесту.
138;0;;[Michael and I] were at the conference last year. (I, Michael); Мы с Майклом были на конференции в прошлом году.
139;0;;[My boss and I] will attend the meeting. (I, my boss); Мы с моим начальником посетим встречу.
140;0;;[My brother and I] enjoy playing video games. (I, my brother); Мы с моим братом любим играть в видеоигры.
141;0;;[My teacher and I] wrote an article on this topic. (I, my teacher); Мы с моим учителем написали статью на эту тему.
142;0;;[They and I] are planning a trip next month. (I, they); Мы с ними планируем поездку в следующем месяце.
143;0;;[They and I] often travel together. (I, they); Мы с ними часто путешествуем вместе.
144;0;;[You and he] have similar interests. (you, he); У вас с ним похожие интересы.
145;0;;[You and he] need to finish the report. (you, he); Вам с ним нужно закончить отчет.
146;0;;[You and she] should present the report. (you, she); Вам с ней следует представить отчет.
147;0;;[You and she] should take care of this issue. (you, she); Вам с ней следует заняться этим вопросом.
148;0;;[You and your sister] should decide together. (you, your sister); Вам с твоей сестрой следует решить это вместе.
149;0;;[You and we] will organize the party. (you, we); Мы с тобой организуем вечеринку.
150;0;;[You and they] need to prepare for the meeting. (you, they); Вам с ними нужно подготовиться к встрече.
151;0;;[You and my sister] need to talk about the event. (you, my sister); Вам с моей сестрой нужно поговорить о мероприятии.
152;0;;[You and they] have already finished the assignment. (you, they); Вы с ними уже закончили задание.
153;0;;[You and my cousin] are responsible for organizing the event. (you, my cousin); Вы с моим кузеном отвечаете за организацию мероприятия.
154;0;;[You and they] were chosen for the project. (you, they); Вас с ними выбрали для проекта.
155;0;;[You and Mark] should present the results. (you, Mark); Вам с Марком следует представить результаты.
156;0;;She is taller than [I:t.Personal,s3f,f.Formal].; Она выше, чем я.
157;0;;She is taller than [me:t.Personal,s3f,f.Colloquial].; Она выше меня.
158;0;;No one can do it but [she:t.Personal,s3f,f.Formal].; Никто не может сделать это, кроме неё.
159;0;;No one can do it but [her:t.Personal,s3f,f.Colloquial].; Никто не может сделать это, кроме неё.
160;0;;No one understands it but [he:t.Personal,s3f,f.Formal].; Никто этого не понимает, кроме него.
161;0;;No one understands it but [him:t.Personal,s3f,f.Colloquial].; Никто этого не понимает, кроме него.
162;0;;They invited no one but [we:t.Personal,p1,f.Formal].; Они никого не пригласили, кроме нас.
163;0;;They invited no one but [us:t.Personal,p1,f.Colloquial].; Они никого не пригласили, кроме нас.
164;0;;Nothing matters but [she:t.Personal,s3f,f.Formal].; Ничто не имеет значения, кроме неё.
165;0;;Nothing matters but [her:t.Personal,s3f,f.Colloquial].; Ничто не имеет значения, кроме неё.
166;0;;No one saw it except [I:t.Personal,s1,f.Formal].; Никто этого не видел, кроме меня.
167;0;;No one saw it except [me:t.Personal,s1,f.Colloquial].; Никто этого не видел, кроме меня.
168;0;;We spoke to no one except [they:t.Personal,p3,f.Formal].; Мы ни с кем не разговаривали, кроме них.
169;0;;We spoke to no one except [them:t.Personal,p3,f.Colloquial].; Мы ни с кем не разговаривали, кроме них.
170;0;;She is taller than [he:t.Personal,s3f,f.Formal].; Она выше, чем он.
171;0;;She is taller than [him:t.Personal,s3f,f.Colloquial].; Она выше его.
172;0;;They are stronger than [we:t.Personal,p1,f.Formal].; Они сильнее, чем мы.
173;0;;They are stronger than [us:t.Personal,p1,f.Colloquial].; Они сильнее нас.
174;0;;I know more about this than [she:t.Personal,s3f,f.Formal].; Я знаю об этом больше, чем она.
175;0;;I know more about this than [her:t.Personal,s3f,f.Colloquial].; Я знаю об этом больше, чем она.
176;0;;He is as fast as [she:t.Personal,s3f,f.Formal].; Он так же быстр, как она.
177;0;;He is as fast as [her:t.Personal,s3f,f.Colloquial].; Он так же быстр, как она.
178;0;;We are as experienced as [they:t.Personal,p3,f.Formal].; У нас столько же опыта, сколько у них.
179;0;;We are as experienced as [them:t.Personal,p3,f.Colloquial].; У нас столько же опыта, сколько у них.
180;0;;You know as well as [I:t.Personal,s1,f.Formal] do that it's true.; Ты знаешь так же хорошо, как и я, что это правда.
181;0;;You know as well as [me:t.Personal,s1,f.Colloquial] do that it's true.; Ты знаешь так же хорошо, как и я, что это правда.
182;0;;Who is responsible for this mistake? – Not [I:t.Personal,s1,f.Formal]!; Кто несёт ответственность за эту ошибку? – Не я!
183;0;;Who is responsible for this mistake? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто несёт ответственность за эту ошибку? – Не я!
184;0;;Who wants coffee? – [I:t.Personal,s1,f.Formal] do!; Кто хочет кофе? – Я хочу!
185;0;;Who wants coffee? – [Me:t.Personal,s1,f.Colloquial]!; Кто хочет кофе? – Я!
186;0;;Who told you that? – [He:t.Personal,s3,f.Formal] did.; Кто тебе это сказал? – Он сказал.
187;0;;Who told you that? – [Him:t.Personal,s3,f.Colloquial].; Кто тебе это сказал? – Он.
188;0;;Who took my pen? – Not [I:t.Personal,s1,f.Formal]!; Кто взял мою ручку? – Не я!
189;0;;Who took my pen? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто взял мою ручку? – Не я!
190;0;;Who’s going first? – [I:t.Personal,s1,f.Formal] am.; Кто идёт первым? – Я иду.
191;0;;Who’s going first? – [Me:t.Personal,s1,f.Colloquial].; Кто идёт первым? – Я.
192;0;;Who helped you? – [She:t.Personal,s3,f.Formal] did.; Кто тебе помог? – Она помогла.
193;0;;Who helped you? – [Her:t.Personal,s3,f.Colloquial].; Кто тебе помог? – Она.
194;0;;Who’s in charge here? – [I:t.Personal,s1,f.Formal] am.; Кто здесь главный? – Я.
195;0;;Who’s in charge here? – [Me:t.Personal,s1,f.Colloquial].; Кто здесь главный? – Я.
196;0;;Who ate the last slice? – Not [I:t.Personal,s1,f.Formal]!; Кто съел последний кусок? – Не я!
197;0;;Who ate the last slice? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто съел последний кусок? – Не я!
198;0;;Who called earlier? – [They:t.Personal,s3,f.Formal] did.; Кто звонил раньше? – Они звонили.
199;0;;Who called earlier? – [Them:t.Personal,s3,f.Colloquial].; Кто звонил раньше? – Они.
200;0;;Who’s ready to leave? – [We:t.Personal,p1,f.Formal] are.; Кто готов уходить? – Мы готовы.
201;0;;Who’s ready to leave? – [Us:t.Personal,p1,f.Colloquial].; Кто готов уходить? – Мы.
202;0;;Who has been using my laptop? – Not [I:t.Personal,s1,f.Formal]!; Кто пользовался моим ноутбуком? – Не я!
203;0;;Who has been using my laptop? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто пользовался моим ноутбуком? – Не я!
204;0;;Who will have finished the project by tomorrow? – [I:t.Personal,s1,f.Formal] will have.; Кто закончит проект к завтрашнему дню? – Я закончу.
205;0;;Who will have finished the project by tomorrow? – [Me:t.Personal,s1,f.Colloquial].; Кто закончит проект к завтрашнему дню? – Я.
206;0;;Who had already left when you arrived? – [She:t.Personal,s3,f.Formal] had.; Кто уже ушёл, когда ты приехал? – Она ушла.
207;0;;Who had already left when you arrived? – [Her:t.Personal,s3,f.Colloquial].; Кто уже ушёл, когда ты приехал? – Она.
208;0;;Who would have helped if they had known? – [We:t.Personal,p1,f.Formal] would have.; Кто бы помог, если бы знал? – Мы бы помогли.
209;0;;Who would have helped if they had known? – [Us:t.Personal,p1,f.Colloquial].; Кто бы помог, если бы знал? – Мы.
210;0;;Who is supposed to be leading this meeting? – [He:t.Personal,s3,f.Formal] is.; Кто должен вести эту встречу? – Он.
211;0;;Who is supposed to be leading this meeting? – [Him:t.Personal,s3,f.Colloquial].; Кто должен вести эту встречу? – Он.
212;0;;Who has been waiting the longest? – [They:t.Personal,p3,f.Formal] have.; Кто ждал дольше всех? – Они ждали.
213;0;;Who has been waiting the longest? – [Them:t.Personal,p3,f.Colloquial].; Кто ждал дольше всех? – Они.
214;0;;Who will be speaking at the event? – [I:t.Personal,s1,f.Formal] will be.; Кто будет выступать на мероприятии? – Я буду.
215;0;;Who will be speaking at the event? – [Me:t.Personal,s1,f.Colloquial].; Кто будет выступать на мероприятии? – Я.
216;0;;Who should have called earlier? – [He:t.Personal,s3,f.Formal] should have.; Кто должен был позвонить раньше? – Он должен был.
217;0;;Who should have called earlier? – [Him:t.Personal,s3,f.Colloquial].; Кто должен был позвонить раньше? – Он.
218;0;;Who might have left the door open? – [She:t.Personal,s3,f.Formal] might have.; Кто мог оставить дверь открытой? – Она могла.
219;0;;Who might have left the door open? – [Her:t.Personal,s3,f.Colloquial].; Кто мог оставить дверь открытой? – Она.
220;0;;Who had been working on this before the change? – [We:t.Personal,p1,f.Formal] had been.; Кто работал над этим до изменений? – Мы работали.
221;0;;Who had been working on this before the change? – [Us:t.Personal,p1,f.Colloquial].; Кто работал над этим до изменений? – Мы.
222;0;;No one but [I:t.Personal,s1,f.Formal] understood the instructions.;Никто, кроме меня, не понял инструкций.
223;0;;No one but [me:t.Personal,s1,f.Colloquial] understood the instructions.;Никто, кроме меня, не понял инструкций.
224;0;;All but [I:t.Personal,s1,f.Formal] arrived late to the meeting.;Все, кроме меня, опоздали на встречу.
225;0;;All but [me:t.Personal,s1,f.Colloquial] arrived late to the meeting.;Все, кроме меня, опоздали на встречу.
226;0;;Nothing but [I:t.Personal,s1,f.Formal] could change the outcome.;Ничто, кроме меня, не могло изменить исход.
227;0;;Nothing but [me:t.Personal,s1,f.Colloquial] could change the outcome.;Ничто, кроме меня, не могло изменить исход.
228;0;;No one except [I:t.Personal,s1,f.Formal] was willing to take the risk.;Никто, кроме меня, не был готов пойти на риск.
229;0;;No one except [me:t.Personal,s1,f.Colloquial] was willing to take the risk.;Никто, кроме меня, не был готов пойти на риск.
230;0;;He is taller than [I:t.Personal,s1,f.Formal].;Он выше, чем я.
231;0;;He is taller than [me:t.Personal,s1,f.Colloquial].;Он выше, чем я.
232;0;;She is as dedicated as [I:t.Personal,s1,f.Formal] am.;Она так же предана, как и я.
233;0;;She is as dedicated as [me:t.Personal,s1,f.Colloquial] am.;Она так же предана, как и я.
234;0;;No one but [you:t.Personal,s2,f.Formal] should take responsibility.;Никто, кроме тебя, не должен брать на себя ответственность.
235;0;;No one but [you:t.Personal,s2,f.Colloquial] should take responsibility.;Никто, кроме тебя, не должен брать на себя ответственность.
236;0;;Everyone but [you:t.Personal,s2,f.Formal] received an invitation.;Все, кроме тебя, получили приглашение.
237;0;;Everyone but [you:t.Personal,s2,f.Colloquial] received an invitation.;Все, кроме тебя, получили приглашение.
238;0;;Nothing but [you:t.Personal,s2,f.Formal] matters to me.;Ничто, кроме тебя, для меня не важно.
239;0;;Nothing but [you:t.Personal,s2,f.Colloquial] matters to me.;Ничто, кроме тебя, для меня не важно.
240;0;;She trusts no one except [you:t.Personal,s2,f.Formal].;Она никому не доверяет, кроме тебя.
241;0;;She trusts no one except [you:t.Personal,s2,f.Colloquial].;Она никому не доверяет, кроме тебя.
242;0;;No one is more qualified than [you:t.Personal,s2,f.Formal].;Никто не более квалифицирован, чем ты.
243;0;;No one is more qualified than [you:t.Personal,s2,f.Colloquial].;Никто не более квалифицирован, чем ты.
244;0;;You are as capable as [you:t.Personal,s2,f.Formal] believe yourself to be.;Ты так же способен, как сам в это веришь.
245;0;;You are as capable as [you:t.Personal,s2,f.Colloquial] believe yourself to be.;Ты так же способен, как сам в это веришь.
246;0;;No one but [he:t.Personal,s3m,f.Formal] knows the truth.;Никто, кроме него, не знает правды.
247;0;;No one but [him:t.Personal,s3m,f.Colloquial] knows the truth.;Никто, кроме него, не знает правды.
248;0;;Everyone but [he:t.Personal,s3m,f.Formal] was chosen for the project.;Все, кроме него, были выбраны для проекта.
