valid , v1      , top       , verb                   , trans                                                                              , exmpls
1     , Come    , 1182      , Come across            , натолкнуться/случайно встретить                                                    , "Last night I came across Mick Jagger on the street."
0     , Come    , 1607      , Come (а)round          , приходить;опомниться                                                               , "You did come round                                                                                                                                 , did you not?;He'll come round. It won't hurt him to discover that I'm not all milk and honey."
0     , Come    , 3569      , Come forth             ,                                                                                    ,
0     , Come    , 9999      , Come forward           , выходить вперед/выдвигаться                                                        ,
0     , Do      , 37        , Do in                  ,                                                                                    ,
0     , Do      , 41        , Do for                 ,                                                                                    ,
0     , Do      , 76        , Do up                  , привести в порядок                                                                 , "It will take a while to do this room up."
0     , Do      , 349       , Do with                ,                                                                                    ,
1     , Do      , 349       , Do without             , обойтись без                                                                       , "A man can do without food for forty days."
0     , Get     , 45        , Get to                 ,                                                                                    ,
0     , Get     , 50        , Get it                 ,                                                                                    ,
0     , Get     , 76        , Get it on              ,                                                                                    ,
0     , Get     , 102       , Get it up              ,                                                                                    ,
0     , Get     , 198       , Get it over with       ,                                                                                    ,
1     , Get     , 270       , Get it together        , собраться мыслями                                                                  , "Get it together                                                                                                                                    , Terry."
0     , Get     , 55        , Get in                 , прибывать (транспорт)                                                              , My bus always gets in on time.
0     , Get     , 86        , Get in with            ,                                                                                    ,
0     , Get     , 196       , Get into               ,                                                                                    ,
0     , Get     , 999999999 , Get in                 , войти/забраться в/проникнуть/попасть в                                             ,
1     , Get     , 68        , Get on                 , садиться (в транспорт);ладить/уживаться;справляться;жить/поживать;двигаться дальше , "Please get on the bus.;We did not get on;How are you getting on with your project?;How are you getting on?;Let's get on!"
0     , Get     , 71        , Get on to              ,                                                                                    ,
0     , Get     , 99        , Get on with            ,                                                                                    ,
0     , Get     , 85        , Get on for             ,                                                                                    ,
0     , Get     , 1784      , Get onto               ,                                                                                    ,
0     , Get     , 73        , Get with               ,                                                                                    ,
0     , Get     , 81        , Get about              , передвигаться (на чём-то)                                                          , We use self-made carts to get about the city.
0     , Get     , 86        , Get out                ,                                                                                    ,
0     , Get     , 99        , Get out                , уходить/уезжать;выходить;вынимать/вытаскивать                                      ,
0     , Get     , 95        , Get out of             , избежать/отмазаться                                                                , I am so glad I got out of doing that!
1     , Get     , 94        , Get up                 , вставать                                                                           , "Get up                                                                                                                                             , Alexandra                                                                                      , we've left 'em long enough."
0     , Get     , 99        , Get up                 , вставать/подниматься;просыпаться                                                   ,
0     , Get     , 97        , Get up to              ,                                                                                    ,
0     , Get     , 101       , Get at                 , клонить/намекать                                                                   , Do you understand what I am getting at?
0     , Get     , 120       , Get back               ,                                                                                    ,
0     , Get     , 999       , Get back               , вернуть(ся)                                                                        ,
0     , Get     , 123       , Get back to            , Снова заняться какой-то деятельностью                                              , "Well                                                                                                                                               , Harry                                                                                          , I’d better get back to work."
0     , Get     , 179       , Get back at            , отомстить                                                                          , This is a right moment to get back at my classmate.
0     , Get     , 159       , Get over               , пережить/принять                                                                   , I still just can't get over the whole thing!
0     , Get     , 999       , Get over               , справиться;понять;добраться до;перейти/перелезть                                   ,
0     , Get     , 190       , Get over with          ,                                                                                    ,
0     , Get     , 168       , Get down               , приступить                                                                         , After photographing they got down to work again.
0     , Get     , 999       , Get down               , опустить(ся)                                                                       ,
0     , Get     , 171       , Get down to            ,                                                                                    ,
0     , Get     , 194       , Get down on            ,                                                                                    ,
0     , Get     , 173       , Get by                 , обойтись/протянуть                                                                 , You can't get by for a month on your savings.
1     , Get     , 182       , Get off                , выходить/покидать (транспорт)                                                      , I will not take you farther. Get off.
0     , Get     , 208       , Get off on             ,                                                                                    ,
0     , Get     , 221       , Get after              ,                                                                                    ,
0     , Get     , 228       , Get around             , передвигаться;распространять (новости)                                             , "Since he had the accident he gets around with difficulty.;The news that he is rich soon got around."
0     , Get     , 999       , Get around             , обойти/преодолеть;справиться;перехитрить                                           ,
0     , Get     , 231       , Get around to          ,                                                                                    ,
0     , Get     , 231       , Get round to           , найти время для чего-либо                                                          , "I will get round to preparing for my English exam."
1     , Get     , 211       , Get away               , уходить/убегать/спасаться бегством                                                 , "Why did the fosh get away?"
1     , Get     , 242       , Get away with          , уйти от наказания/сходить с рук                                                    , "He got away with it."
0     , Get     , 294       , Get away from          ,                                                                                    ,
0     , Get     , 250       , Get through            , дозвониться                                                                        , I can't get through to her. Her phone is off.
0     , Get     , 999       , Get through            , проходить/проникать через;выдержать/справиться                                     ,
0     , Get     , 253       , Get through to         ,                                                                                    ,
1     , Get     , 262       , Get together           , собираться                                                                         , Get together tonight?
0     , Get     , 385       , Get used               ,                                                                                    ,
0     , Get     , 568       , Get behind             ,                                                                                    ,
0     , Get     , 571       , Get ahead              , преуспевать/продвигаться                                                           , It's an easy way to get ahead financially.
0     , Get     , 580       , Get ahead of           , обогнать                                                                           , Punch the gas and get ahead of him!
0     , Get     , 599       , Get behind with        ,                                                                                    ,
1     , Get     , 645       , Get along              , ладить/уживаться;обходиться                                                        , "My pets get along quite well.;They don't have much                                                                                                 , but they get along on it."
0     , Get     , 697       , Get taken in           ,                                                                                    ,
0     , Get     , 1066      , Get stuck in           ,                                                                                    ,
0     , Get     , 1068      , Get rid of             , избавиться от                                                                      , Do this exercise to get rid of your double chin.
1     , Get     , 1157      , Get across             , перебираться через что-либо;объяснять/добиться понимания                           , "He got across the lake by yacht.;We are trying to get across to them that they have to study harder."
0     , Get     , 1207      , Get stuck into         ,                                                                                    ,
0     , Go      , 60        , Go to                  ,                                                                                    ,
0     , Go      , 70        , Go in                  ,                                                                                    ,
0     , Go      , 74        , Go for                 , выбирать/предпочитать;быть проданным за                                            , Most girls go for tall guys.;This very house went for $102 million — in cash.
0     , Go      , 82        , Go for it              ,                                                                                    ,
1     , Go      , 83        , Go on                  , происходить;продолжаться                                                           , "What is going on here?;Shit happens. Life goes on."
0     , Go      , 86        , Go on to               ,                                                                                    ,
0     , Go      , 142       , Go on at               ,                                                                                    ,
0     , Go      , 122       , Go on about            ,                                                                                    ,
0     , Go      , 114       , Go on with             ,                                                                                    ,
0     , Go      , 87        , Go in for              ,                                                                                    ,
0     , Go      , 88        , Go with                ,                                                                                    ,
0     , Go      , 96        , Go about               , заниматься (делами)                                                                , The countrymen went about their daily activities.
0     , Go      , 101       , Go in with             ,                                                                                    ,
0     , Go      , 101       , Go out                 , погаснуть                                                                          , The lanterns went out. The street is empty.
0     , Go      , 104       , Go out to              ,                                                                                    ,
0     , Go      , 109       , Go up                  ,                                                                                    ,
0     , Go      , 116       , Go at                  ,                                                                                    ,
0     , Go      , 118       , Go out for             ,                                                                                    ,
0     , Go      , 126       , Go up for              ,                                                                                    ,
0     , Go      , 135       , Go all out             ,                                                                                    ,
0     , Go      , 135       , Go back                , возвращаться                                                                       , When do you go back to Germany?
1     , Go      , 174       , Go over                , просмотреть/изучить/повторить                                                      , Before going abroad go over your English notes.
0     , Go      , 177       , Go over to             ,                                                                                    ,
0     , Go      , 183       , Go down                , быть принятым                                                                      , The new songs went down really well.
0     , Go      , 188       , Go by                  , проходить(мимо)                                                                    , "So                                                                                                                                                 , I saw Aaron go by."
1     , Go      , 197       , Go off                 , уходить/уезжать/убегать/улетать;сработать;отключиться                              , Karen went off and forgot her hangbag;Don't smoke. The fire alarm may go off.;The power often goes off and goes on again.
0     , Go      , 228       , Go off with            ,                                                                                    ,
0     , Go      , 211       , Go into                , вдаваться                                                                          , It is not necessary to go into the details
0     , Go      , 214       , Go down with           ,                                                                                    ,
0     , Go      , 221       , Go before              ,                                                                                    ,
0     , Go      , 226       , Go away                ,                                                                                    ,
0     , Go      , 236       , Go after               ,                                                                                    ,
0     , Go      , 243       , Go around              ,                                                                                    ,
1     , Go      , 265       , Go through             , проходить;пережить                                                                 , "Elders must go through this door frequently.;She went through a lot of hardship before she finally achieved success."
0     , Go      , 296       , Go through with        ,                                                                                    ,
0     , Go      , 277       , Go together            , сочетаться                                                                         , Wine and cheese go together perfectly.
0     , Go      , 382       , Go without             ,                                                                                    ,
0     , Go      , 502       , Go under               , разориться                                                                         , My bank went under. I lost my job.
0     , Go      , 540       , Go against             , противоречить                                                                      , It goes against the laws of nature.
0     , Go      , 586       , Go ahead               , продолжать/идти вперед                                                             , If you get nervous just go ahead and jump.
0     , Go      , 591       , Go past                ,                                                                                    ,
0     , Go      , 603       , Go along               , поддерживать/соглашаться                                                           , "We totally go along with your opinion                                                                                                              , sir."
0     , Go      , 616       , Go so far as           ,                                                                                    ,
0     , Go      , 617       , Go ahead with          ,                                                                                    ,
0     , Go      , 1172      , Go across              ,                                                                                    ,
0     , Go      , 1226      , Go forward             ,                                                                                    ,
0     , Go      , 1597      , Go round               ,                                                                                    ,
0     , Go      , 2464      , Go towards             ,                                                                                    ,
0     , Go      , 3657      , Go below               ,                                                                                    ,
0     , Look    , 76        , Look to                ,                                                                                    ,
0     , Look    , 86        , Look in (on sby)       ,                                                                                    ,
1     , Look    , 90        , Look for               , искать                                                                             , Everybody looked for gold.
0     , Look    , 99        , Look on                ,                                                                                    ,
0     , Look    , 132       , Look at                , рассмотреть/обдумать                                                               , We didn't even look at this option.
1     , Look    , 125       , Look up                , искать (информацию)                                                                , I need to look up the definition of this word in the dictionary.
1     , Look    , 128       , Look up to             , уважать/восхищаться                                                                , The were the people we looked up to.
0     , Look    , 117       , Look out               , смотреть (опасность!)                                                              , Look out! He is angry!
0     , Look    , 134       , Look out for           , Высматривать                                                                       , Here are ten films to look out for.
0     , Look    , 151       , Look back              ,                                                                                    ,
0     , Look    , 170       , Look on as             ,                                                                                    ,
0     , Look    , 225       , Look down on           ,                                                                                    ,
0     , Look    , 227       , Look into              , посмотреть/изучaть                                                                 , I have to look into this coin. It will take time.
0     , Look    , 252       , Look after             , ухаживать/присматривать                                                            , It's Rob. He looks after sheep.
0     , Look    , 259       , Look around            , посмотреть/оглядеть                                                                , Let's go and look around the old town.
0     , Look    , 281       , Look through           ,                                                                                    ,
0     , Look    , 602       , Look ahead             ,                                                                                    ,
1     , Look    , 1242      , Look forward to        , ожидать/предвкушать                                                                , The cats were looking forward to their fish.
0     , Look    , 1613      , Look round             ,                                                                                    ,
0     , Look    , 1790      , Look upon              ,                                                                                    ,
0     , Look    , 1861      , Look upon as           ,                                                                                    ,
0     , See     , 69        , See to                 , заняться/позаботиться                                                              , I'll see to it that the cats are fed in time.
0     , See     , 79        , See in                 ,                                                                                    ,
0     , See     , 110       , See out                ,                                                                                    ,
0     , See     , 206       , See off                , провожать (в путь)                                                                 , That day women saw their husbands off to the war.
0     , See     , 220       , See into               ,                                                                                    ,
0     , See     , 274       , See through            , довести до конца                                                                   , Have determination to see the job through.
0     , Act     , 757       , Act on                 , действовать в соответствии                                                         , "Well                                                                                                                                               , let's act on the original plan."
0     , Act     , 775       , Act out                ,                                                                                    ,
1     , Act     , 783       , Act up                 , выделываться/вести себя плохо                                                      , "My computer is acting up                                                                                                                           , I think I might have a virus."
0     , Act     , 786       , Act up to              ,                                                                                    ,
0     , Act     , 2448      , Act upon               ,                                                                                    ,
0     , Answer  , 492       , Answer to              ,                                                                                    ,
0     , Answer  , 506       , Answer for             ,                                                                                    ,
0     , Answer  , 567       , Answer back            ,                                                                                    ,
1     , Ask     , 268       , Ask in                 , пригласить домой (в гости)                                                         , "Her informant had never before asked to meet in person."
1     , Ask     , 272       , Ask for                , напрашиваться                                                                      , "They are asking for trouble."
1     , Ask     , 299       , Ask out                , пригласить кудато (на свидание)                                                    , "You think about her. A lot. Just ask her out."
0     , Ask     , 372       , Ask over               ,                                                                                    ,
0     , Ask     , 434       , Ask after              ,                                                                                    ,
0     , Ask     , 441       , Ask around (round)     ,                                                                                    ,
0     , Ask     , 1795      , Ask round              ,                                                                                    ,
1     , Back    , 130       , Back up                , поддерживать/прикрывать;сделать резервную копию                                    , "Go ahead                                                                                                                                           , I'll back you up.;Can you back up the important files on your computer?"
0     , Back    , 204       , Back down              , отступить/отказаться                                                               , After a dozen attempts he backed down
1     , Back    , 218       , Back off               , отступить/отвалить                                                                 , He won't back off.
0     , Back    , 232       , Back into              ,                                                                                    ,
0     , Back    , 1820      , Back onto              ,                                                                                    ,
0     , Back    , 122       , Back out               ,                                                                                    ,
1     , Back    , 122       , Back out of            , уклоняться/отказываться от                                                         , "He back out of his promise."
1     , Bang    , 982       , Bang info              , натолкнуться/столкнуться                                                           , "Yesterday I banged info my friend."
0     , Beat    , 982       , Beat out               ,                                                                                    ,
0     , Beat    , 990       , Beat up                , побить                                                                             , I don't even remember why I beat him up.
0     , Beat    , 1064      , Beat down              ,                                                                                    ,
0     , Beat    , 1078      , Beat off               ,                                                                                    ,
0     , Believe , 184       , Believe in             ,                                                                                    ,
1     , Book    , 570       , Book in                , забронировать                                                                      , "I'll book us in at the Hilton."
0     , Break   , 459       , Break in               ,                                                                                    ,
0     , Break   , 490       , Break out              , сбежать/вырваться;вспыхнуть/разразиться                                            , It's not easy to break out of prison.;Protests broke out on Monday.
1     , Break   , 498       , Break up               , расстаться;разбить                                                                 , "It's time for us to break up. It's not you                                                                                                         , it's me.;Okay                                                                                  , so we'll break up into groups."
0     , Break   , 499       , Break out of           , вырваться/сбежать                                                                  , You can't break out of here.
1     , Break   , 572       , Break down             , ломаться                                                                           , The cart broke down but we delivered the cargo.
0     , Break   , 585       , Break even             ,                                                                                    ,
0     , Break   , 586       , Break off              ,                                                                                    ,
0     , Break   , 600       , Break into             , врываться/вломиться                                                                , You break into my apartment?
0     , Break   , 615       , Break away             , отделяться                                                                         , In 1776 the colonies broke away from Britain
0     , Break   , 654       , Break through          ,                                                                                    ,
0     , Bring   , 390       , Bring to               ,                                                                                    ,
1     , Bring   , 400       , Bring in               , привлечь/внести                                                                    , We brought in a new contractor to finish up.
0     , Bring   , 426       , Bring about            ,                                                                                    ,
0     , Bring   , 431       , Bring out              , выпустить (новинку и т.д.)                                                         , The selfie stick was brought out in 2014.
1     , Bring   , 439       , Bring up               , воспитывать;упоминать                                                              , "I'm Mowgli                                                                                                                                         , I was brought up by animals.;It was not me who brought up the subject."
0     , Bring   , 465       , Bring back             , вернуть                                                                            , Bring me back my 2007.
0     , Bring   , 513       , Bring down             , сбрасывать/свергать                                                                , "Bring down a dictator                                                                                                                              , when bring down his statue."
0     , Bring   , 527       , Bring off              ,                                                                                    ,
0     , Bring   , 573       , Bring around           , убедить                                                                            , Nothing will bring me around to your point of view.
0     , Bring   , 933       , Bring along            , взять с собой                                                                      , We always bring along our raccoon.
0     , Bring   , 1556      , Bring forward          ,                                                                                    ,
0     , Bring   , 1927      , Bring round            ,                                                                                    ,
0     , Bring   , 3889      , Bring forth            ,                                                                                    ,
0     , Call    , 174       , Call in                ,                                                                                    ,
0     , Call    , 178       , Call for               , требовать/взывать                                                                  , We're calling for justice!
0     , Call    , 187       , Call on                , обратиться/попросить                                                               , We called on a fortune-teller to figure it out.
1     , Call    , 205       , Call out               , кричать/выкрикивать;критиковать                                                    , "He called out his name.;The coach called out the player for not giving their best effort during the game."
0     , Call    , 213       , Call up                , позвать;позвонить                                                                  , "And                                                                                                                                                , of course                                                                                      , I got to call up my sister                 , too.;I better call up."
1     , Call    , 239       , Call back              , перезвонить                                                                        , I'm driving. I'll call you back later.
0     , Call    , 287       , Call down              ,                                                                                    ,
1     , Call    , 301       , Call off               , отменить                                                                           , "The game is called off."
0     , Call    , 330       , Call away              ,                                                                                    ,
1     , Call    , 999999999 , Call back              , перезвонить/позвать назад                                                          , "Call back in an hour please."
0     , Calm    , 926       , Calm down              , успокоиться                                                                        , Hey! Calm down bro!
1     , Catch   , 778       , Catch on               , понять;поймать/зацепиться;прижиться/стать популярным                               , "It takes a while for him to catch on.;I'm really surprised no one else caught me on this.;Hats are catching on like never before."
0     , Catch   , 804       , Catch up               , догнать;наверстать                                                                 , You can catch up now.;Got a lot to catch up on.
1     , Check   , 999       , Check in/check into    , регистрироваться/вселяться                                                         , "They check in at the Ritz yesterday."
1     , Check   , 438       , Check out              , освободить номер;проверить/заценить                                                , "He is checking out of room.;Check out this fish dude!"
0     , Check   , 446       , Check up               ,                                                                                    ,
1     , Check   , 472       , Check up on            , проверить/выяснить                                                                 , "Can you check up on the children?"
0     , Clean   , 857       , Clean out              ,                                                                                    ,
0     , Clean   , 865       , Clean up               , убрать (мусор)                                                                     , You should always clean up after yourself.
0     , Clear   , 615       , Clear out              , убирать/забирать                                                                   , Sometimes we should clear out some of our junk.
0     , Clear   , 740       , Clear away             ,                                                                                    ,
0     , Close   , 489       , Close in on            , приближаться                                                                       , Please don't close in on me!
0     , Close   , 502       , Close up               ,                                                                                    ,
0     , Close   , 576       , Close down             , закрыться (насовсем)                                                               , My favorite bookstore closed down.
0     , Close   , 590       , Close off              ,                                                                                    ,
1     , Cool    , 618       , Cool down              , остыть                                                                             , I took a shower under the waterfall to cool down.
0     , Count   , 902       , Count in               ,                                                                                    ,
0     , Count   , 915       , Count on               , рассчитывать на                                                                    , I wouldn't count on the reliability of this bridge.
0     , Count   , 933       , Count out              ,                                                                                    ,
0     , Count   , 941       , Count up               ,                                                                                    ,
0     , Count   , 1015      , Count down             ,                                                                                    ,
0     , Count   , 1029      , Count off              ,                                                                                    ,
1     , Cut     , 613       , Cut back               , сокращать                                                                          , "I'm just really                                                                                                                                    , really trying to cut back                                                                      , you know."
1     , Cut     , 661       , Cut down               , срубить;урезать/уменьшить                                                          , "They cut the tree down;If you want to be slim cut down your portion size."
1     , Cut     , 587       , Cut up                 , разрезать                                                                          , "Badly cut up."
1     , Cut     , 579       , Cut out                , вырезать;исключать                                                                 , "I cut out the article from the newspaper.;I need to cut out sweets from my diet to lose weight."
1     , Cut     , 675       , Cut off                , отрезать/разъединять;прерывать/отключать                                           , "This would mean some of the image would be cut off.;If you don't pay the bills we'll cut off the power."
0     , Cut     , 743       , Cut through            ,                                                                                    ,
0     , Deal    , 363       , Deal with              , иметь дело с                                                                       , Never deal with Gypsies.
0     , Die     , 516       , Die out                , вымереть                                                                           , Around 95% of all living species died out.
1     , Dress   , 974       , Dress up               , нарядиться                                                                         , Lu was dressed up as a bloody elf.
0     , Dress   , 1048      , Dress down             ,                                                                                    ,
0     , Drink   , 580       , Drink to               ,                                                                                    ,
0     , Drink   , 590       , Drink in               ,                                                                                    ,
1     , Drink   , 629       , Drink up               , выпить (полностью)                                                                 , "Drink up your yogurt!"
0     , Drive   , 754       , Drive at               ,                                                                                    ,
0     , Drive   , 826       , Drive by               ,                                                                                    ,
0     , Drive   , 864       , Drive away             ,                                                                                    ,
1     , Drop    , 715       , Drop in                , заскочить/посетить                                                                 , "Have them drop in                                                                                                                                  , see what she has to say."
0     , Drop    , 746       , Drop out               , выбывать                                                                           , You mustn't drop out of school.
1     , Drop    , 842       , Drop off               , подвезти;заснуть/задремать                                                         , "Drop me off right here at the corner.;Yesterday he dropped off at the theater."
0     , Eat     , 586       , Eat out                , есть не дома                                                                       , "Every Sunday                                                                                                                                       , they eat out."
1     , Eat     , 594       , Eat up                 , досъесть                                                                           , "They ate up everything and left me nothing."
0     , Eat     , 696       , Eat into               ,                                                                                    ,
0     , Eat     , 711       , Eat away               ,                                                                                    ,
0     , Fall    , 771       , Fall in                ,                                                                                    ,
0     , Fall    , 775       , Fall for               , вестись;влюбляться                                                                 , MLM? Don't fall for that shit.;Girls always fall for Greg and ignore me.
0     , Fall    , 784       , Fall on                ,                                                                                    ,
0     , Fall    , 797       , Fall about             ,                                                                                    ,
0     , Fall    , 802       , Fall in with           ,                                                                                    ,
0     , Fall    , 802       , Fall out               , ссориться                                                                          , We fell out because of a cheeseburger.
1     , Fall    , 884       , Fall down              , упасть вниз                                                                        , "You always fall down a well trying to steal stuff."
1     , Fall    , 898       , Fall off               , упасть/снизиться                                                                   , "The number of jobs fall off."
0     , Fall    , 912       , Fall into              ,                                                                                    ,
0     , Fall    , 927       , Fall away              ,                                                                                    ,
1     , Fall    , 966       , Fall through           , срываться                                                                          , "The trip to Manchester fell through."
0     , Fall    , 1203      , Fall under             ,                                                                                    ,
0     , Fall    , 1284      , Fall behind            , отставать                                                                          , The one who falls behind will be eaten.
0     , Fall    , 1732      , Fall apart             , разваливаться                                                                      , The building is falling apart. My bag is in there.
0     , Fall    , 2475      , Fall upon              ,                                                                                    ,
0     , Fight   , 673       , Fight off              , отбиваться                                                                         , They are not able to fight off the attack.
1     , Figure  , 616       , Figure out             , выяснять/осознавать                                                                , They can't figure out how to open these boxes.
1     , Find    , 199       , Find out               , выяснять/узнавать/разыскивать                                                      , "I'm trying to find out what she died of."
0     , Finish  , 962       , Finish up              ,                                                                                    ,
1     , Finish  , 1050      , Finish off             , добить/прикончить                                                                  , "Has he finished off his work?"
0     , Fix     , 998       , Fix up                 ,                                                                                    ,
1     , Give    , 157       , Give in                , уступить                                                                           , "After arguing for hours                                                                                                                            , I finally gave in to my wife's opinion."
0     , Give    , 160       , Give in to             ,                                                                                    ,
1     , Give    , 196       , Give up                , сдаваться;бросить (привычку)                                                       , "Ok                                                                                                                                                 , you are right I give up.;Every year I give up smoking and drinking."
0     , Give    , 222       , Give up on             ,                                                                                    ,
0     , Give    , 188       , Give out               , раздать/выдать                                                                     , I didn't study well and now I give out booklets.
0     , Give    , 222       , Give back              ,                                                                                    ,
0     , Give    , 224       , Give it up for/to      ,                                                                                    ,
0     , Give    , 247       , Give way               ,                                                                                    ,
0     , Give    , 250       , Give way to            ,                                                                                    ,
0     , Give    , 261       , Give over              ,                                                                                    ,
0     , Give    , 284       , Give off               , издавать/испускать                                                                 , These flowers give off a very sweet aroma.
0     , Give    , 313       , Give away              , раздавать/дарить;выдать (раскрыть)                                                 , On holidays they give away food for the homeless.;You must be Russian. Your accent gives you away.
0     , Give    , 449       , Give yourself up       ,                                                                                    ,
0     , Give    , 3646      , Give forth             ,                                                                                    ,
0     , Give    , 1000153   , Give of oneself        ,                                                                                    ,
0     , Hand    , 464       , Hand in                , подавать;сдавать                                                                   , I'm handing in my notice.;Finish up and hand in your work.
0     , Hand    , 495       , Hand out               , раздавать                                                                          , Hand out sunblock?
0     , Hand    , 568       , Hand over              , передать                                                                           , It's time to hand the baton over.
0     , Hand    , 591       , Hand off               ,                                                                                    ,
0     , Hand    , 853       , Hand in
0     , Hand    , 1991      , Hand round             ,                                                                                    ,
0     , Hang    , 644       , Hang on                , держаться/прицепиться;подожди                                                      , "Why is he hanging on like this?;Hang on                                                                                                            , stand aside."
0     , Hang    , 657       , Hang about             ,                                                                                    ,
0     , Hang    , 662       , Hang out               , тусоваться где-то                                                                  , But I loved hanging out with them.
0     , Hang    , 670       , Hang up                , вешать/подвесить/зависать                                                          , "Because I think you're getting too hung up on me                                                                                                   , you know?"
0     , Hang    , 735       , Hang over              ,                                                                                    ,
0     , Hang    , 838       , Hang together          ,                                                                                    ,
0     , Head    , 480       , Head off               , выйти/отправиться                                                                  , Now I'm heading off to the West End.
0     , Hold    , 341       , Hold in                ,                                                                                    ,
