id;question;extra;suspicious_status;suspicious_note
The cow is standing in the field → [It:t.Personal] is standing in the field; Она стоит в поле.;0;
The horse is running fast → [It:t.Personal] is running fast; Он/Она быстро бежит.;0;
The spider is crawling on the wall → [It:t.Personal] is crawling on the wall; Он/Она ползёт по стене.;0;
The bee is buzzing around the flower → [It:t.Personal] is buzzing around the flower; Она жужжит вокруг цветка.;0;
The squirrel is climbing the tree → [It:t.Personal] is climbing the tree; Она карабкается на дерево.;0;

# personal-subj.nuances(2 - порядок местоимений)
[You and I] should go to the gym together. (I, you); Мы с тобой должны пойти в спортзал вместе.;0;
[You and I] should work on this project together. (I, you); Мы с тобой должны работать над этим проектом вместе.;0;
[She and I] have been friends since childhood. (I, she); Мы с ней друзья с детства.;0;
[She and I] went to the same high school. (I, she); Мы с ней ходили в одну среднюю школу.;0;
[David and I] studied at the same university. (I, David); Мы с Дэвидом учились в одном университете.;0;
[Jessica and I] are preparing for the test. (I, Jessica); Мы с Джессикой готовимся к тесту.;0;
[Michael and I] were at the conference last year. (I, Michael); Мы с Майклом были на конференции в прошлом году.;0;
[My boss and I] will attend the meeting. (I, my boss); Мы с моим начальником посетим встречу.;0;
[My brother and I] enjoy playing video games. (I, my brother); Мы с моим братом любим играть в видеоигры.;0;
[My teacher and I] wrote an article on this topic. (I, my teacher); Мы с моим учителем написали статью на эту тему.;0;
[They and I] are planning a trip next month. (I, they); Мы с ними планируем поездку в следующем месяце.;0;
[They and I] often travel together. (I, they); Мы с ними часто путешествуем вместе.;0;
[You and he] have similar interests. (you, he); У вас с ним похожие интересы.;0;
[You and he] need to finish the report. (you, he); Вам с ним нужно закончить отчет.;0;
[You and she] should present the report. (you, she); Вам с ней следует представить отчет.;0;
[You and she] should take care of this issue. (you, she); Вам с ней следует заняться этим вопросом.;0;
[You and your sister] should decide together. (you, your sister); Вам с твоей сестрой следует решить это вместе.;0;
[You and we] will organize the party. (you, we); Мы с тобой организуем вечеринку.;0;
[You and they] need to prepare for the meeting. (you, they); Вам с ними нужно подготовиться к встрече.;0;
[You and my sister] need to talk about the event. (you, my sister); Вам с моей сестрой нужно поговорить о мероприятии.;0;
[You and they] have already finished the assignment. (you, they); Вы с ними уже закончили задание.;0;
[You and my cousin] are responsible for organizing the event. (you, my cousin); Вы с моим кузеном отвечаете за организацию мероприятия.;0;
[You and they] were chosen for the project. (you, they); Вас с ними выбрали для проекта.;0;
[You and Mark] should present the results. (you, Mark); Вам с Марком следует представить результаты.;0;

# personal-subj.nuances(3,4,5 - борьба разговорного с формальным)
My brother and [I:t.Personal,s1,f.Formal] went to a concert last night.; Мой брат и я ходили на концерт прошлой ночью.
My brother and [me:t.Personal,s1,f.Colloquial] went to a concert last night.; Мой брат и я ходили на концерт прошлой ночью.
My colleague and [I:t.Personal,s1,f.Formal] finished the report on time.; Мой коллега и я закончили отчёт вовремя.
My colleague and [me:t.Personal,s1,f.Colloquial] finished the report on time.; Мой коллега и я закончили отчёт вовремя.
Between you and [I:t.Personal,s1,f.Formal], I think he’s wrong. (часто слышится, но неверно); Между нами, я думаю, он неправ. (часто говорят, но это ошибка)
Between you and [me:t.Personal,s1,f.Colloquial], I think he’s wrong.; Между нами, я думаю, он неправ.
My parents and [I:t.Personal,s1,f.Formal] are going on vacation.; Мои родители и я едем в отпуск.
My parents and [me:t.Personal,s1,f.Colloquial] are going on vacation.; Мои родители и я едем в отпуск.
My best friend and [I:t.Personal,s1,f.Formal] planned the trip.; Мой лучший друг и я спланировали поездку.
My best friend and [me:t.Personal,s1,f.Colloquial] planned the trip.; Мой лучший друг и я спланировали поездку.
It was [I:t.Personal,s1,f.Formal] who told him the truth.; Это был я, кто сказал ему правду.
It was [me:t.Personal,s1,f.Colloquial] who told him the truth.; Это был я, кто сказал ему правду.
It is [I:t.Personal,s1,f.Formal] who deserves the credit.; Именно я заслуживаю признания.
It is [me:t.Personal,s1,f.Colloquial] who deserves the credit.; Именно я заслуживаю признания.
It was [they:t.Personal,p2,f.Formal] who called first.; Это они позвонили первыми.
It was [them:t.Personal,p2,f.Colloquial] who called first.; Это они позвонили первыми.
It was [we:t.Personal,p1,f.Formal] who volunteered.; Это мы вызвались добровольно.
It was [us:t.Personal,p1,f.Colloquial] who volunteered.; Это мы вызвались добровольно.
No one except [he:t.Personal,s3m,f.Formal] knew the answer.; Никто, кроме него, не знал ответа.
No one except [him:t.Personal,s3m,f.Colloquial] knew the answer.; Никто, кроме него, не знал ответа.
Everyone except [she:t.Personal,s3f,f.Formal] arrived on time.; Все, кроме неё, пришли вовремя.
Everyone except [her:t.Personal,s3f,f.Colloquial] arrived on time.; Все, кроме неё, пришли вовремя.
She is taller than [I:t.Personal,s3f,f.Formal].; Она выше, чем я.;0;
She is taller than [me:t.Personal,s3f,f.Colloquial].; Она выше меня.;0;
No one can do it but [she:t.Personal,s3f,f.Formal].; Никто не может сделать это, кроме неё.;0;
No one can do it but [her:t.Personal,s3f,f.Colloquial].; Никто не может сделать это, кроме неё.;0;
No one understands it but [he:t.Personal,s3f,f.Formal].; Никто этого не понимает, кроме него.;0;
No one understands it but [him:t.Personal,s3f,f.Colloquial].; Никто этого не понимает, кроме него.;0;
They invited no one but [we:t.Personal,p1,f.Formal].; Они никого не пригласили, кроме нас.;0;
They invited no one but [us:t.Personal,p1,f.Colloquial].; Они никого не пригласили, кроме нас.;0;
Nothing matters but [she:t.Personal,s3f,f.Formal].; Ничто не имеет значения, кроме неё.;0;
Nothing matters but [her:t.Personal,s3f,f.Colloquial].; Ничто не имеет значения, кроме неё.;0;
No one saw it except [I:t.Personal,s1,f.Formal].; Никто этого не видел, кроме меня.;0;
No one saw it except [me:t.Personal,s1,f.Colloquial].; Никто этого не видел, кроме меня.;0;
We spoke to no one except [they:t.Personal,p3,f.Formal].; Мы ни с кем не разговаривали, кроме них.;0;
We spoke to no one except [them:t.Personal,p3,f.Colloquial].; Мы ни с кем не разговаривали, кроме них.;0;
She is taller than [he:t.Personal,s3f,f.Formal].; Она выше, чем он.;0;
She is taller than [him:t.Personal,s3f,f.Colloquial].; Она выше его.;0;
They are stronger than [we:t.Personal,p1,f.Formal].; Они сильнее, чем мы.;0;
They are stronger than [us:t.Personal,p1,f.Colloquial].; Они сильнее нас.;0;
I know more about this than [she:t.Personal,s3f,f.Formal].; Я знаю об этом больше, чем она.;0;
I know more about this than [her:t.Personal,s3f,f.Colloquial].; Я знаю об этом больше, чем она.;0;
He is as fast as [she:t.Personal,s3f,f.Formal].; Он так же быстр, как она.;0;
He is as fast as [her:t.Personal,s3f,f.Colloquial].; Он так же быстр, как она.;0;
We are as experienced as [they:t.Personal,p3,f.Formal].; У нас столько же опыта, сколько у них.;0;
We are as experienced as [them:t.Personal,p3,f.Colloquial].; У нас столько же опыта, сколько у них.;0;
You know as well as [I:t.Personal,s1,f.Formal] do that it's true.; Ты знаешь так же хорошо, как и я, что это правда.;0;
You know as well as [me:t.Personal,s1,f.Colloquial] do that it's true.; Ты знаешь так же хорошо, как и я, что это правда.;0;
Who is responsible for this mistake? – Not [I:t.Personal,s1,f.Formal]!; Кто несёт ответственность за эту ошибку? – Не я!;0;
Who is responsible for this mistake? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто несёт ответственность за эту ошибку? – Не я!;0;
Who wants coffee? – [I:t.Personal,s1,f.Formal] do!; Кто хочет кофе? – Я хочу!;0;
Who wants coffee? – [Me:t.Personal,s1,f.Colloquial]!; Кто хочет кофе? – Я!;0;
Who told you that? – [He:t.Personal,s3,f.Formal] did.; Кто тебе это сказал? – Он сказал.;0;
Who told you that? – [Him:t.Personal,s3,f.Colloquial].; Кто тебе это сказал? – Он.;0;
Who took my pen? – Not [I:t.Personal,s1,f.Formal]!; Кто взял мою ручку? – Не я!;0;
Who took my pen? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто взял мою ручку? – Не я!;0;
Who’s going first? – [I:t.Personal,s1,f.Formal] am.; Кто идёт первым? – Я иду.;0;
Who’s going first? – [Me:t.Personal,s1,f.Colloquial].; Кто идёт первым? – Я.;0;
Who helped you? – [She:t.Personal,s3,f.Formal] did.; Кто тебе помог? – Она помогла.;0;
Who helped you? – [Her:t.Personal,s3,f.Colloquial].; Кто тебе помог? – Она.;0;
Who’s in charge here? – [I:t.Personal,s1,f.Formal] am.; Кто здесь главный? – Я.;0;
Who’s in charge here? – [Me:t.Personal,s1,f.Colloquial].; Кто здесь главный? – Я.;0;
Who ate the last slice? – Not [I:t.Personal,s1,f.Formal]!; Кто съел последний кусок? – Не я!;0;
Who ate the last slice? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто съел последний кусок? – Не я!;0;
Who called earlier? – [They:t.Personal,s3,f.Formal] did.; Кто звонил раньше? – Они звонили.;0;
Who called earlier? – [Them:t.Personal,s3,f.Colloquial].; Кто звонил раньше? – Они.;0;
Who’s ready to leave? – [We:t.Personal,p1,f.Formal] are.; Кто готов уходить? – Мы готовы.;0;
Who’s ready to leave? – [Us:t.Personal,p1,f.Colloquial].; Кто готов уходить? – Мы.;0;
Who has been using my laptop? – Not [I:t.Personal,s1,f.Formal]!; Кто пользовался моим ноутбуком? – Не я!;0;
Who has been using my laptop? – Not [Me:t.Personal,s1,f.Colloquial]!; Кто пользовался моим ноутбуком? – Не я!;0;
Who will have finished the project by tomorrow? – [I:t.Personal,s1,f.Formal] will have.; Кто закончит проект к завтрашнему дню? – Я закончу.;0;
Who will have finished the project by tomorrow? – [Me:t.Personal,s1,f.Colloquial].; Кто закончит проект к завтрашнему дню? – Я.;0;
Who had already left when you arrived? – [She:t.Personal,s3,f.Formal] had.; Кто уже ушёл, когда ты приехал? – Она ушла.;0;
Who had already left when you arrived? – [Her:t.Personal,s3,f.Colloquial].; Кто уже ушёл, когда ты приехал? – Она.;0;
Who would have helped if they had known? – [We:t.Personal,p1,f.Formal] would have.; Кто бы помог, если бы знал? – Мы бы помогли.;0;
Who would have helped if they had known? – [Us:t.Personal,p1,f.Colloquial].; Кто бы помог, если бы знал? – Мы.;0;
Who is supposed to be leading this meeting? – [He:t.Personal,s3,f.Formal] is.; Кто должен вести эту встречу? – Он.;0;
Who is supposed to be leading this meeting? – [Him:t.Personal,s3,f.Colloquial].; Кто должен вести эту встречу? – Он.;0;
Who has been waiting the longest? – [They:t.Personal,p3,f.Formal] have.; Кто ждал дольше всех? – Они ждали.;0;
Who has been waiting the longest? – [Them:t.Personal,p3,f.Colloquial].; Кто ждал дольше всех? – Они.;0;
Who will be speaking at the event? – [I:t.Personal,s1,f.Formal] will be.; Кто будет выступать на мероприятии? – Я буду.;0;
Who will be speaking at the event? – [Me:t.Personal,s1,f.Colloquial].; Кто будет выступать на мероприятии? – Я.;0;
Who should have called earlier? – [He:t.Personal,s3,f.Formal] should have.; Кто должен был позвонить раньше? – Он должен был.;0;
Who should have called earlier? – [Him:t.Personal,s3,f.Colloquial].; Кто должен был позвонить раньше? – Он.;0;
Who might have left the door open? – [She:t.Personal,s3,f.Formal] might have.; Кто мог оставить дверь открытой? – Она могла.;0;
Who might have left the door open? – [Her:t.Personal,s3,f.Colloquial].; Кто мог оставить дверь открытой? – Она.;0;
Who had been working on this before the change? – [We:t.Personal,p1,f.Formal] had been.; Кто работал над этим до изменений? – Мы работали.;0;
Who had been working on this before the change? – [Us:t.Personal,p1,f.Colloquial].; Кто работал над этим до изменений? – Мы.;0;

# personal-subj.nuances(6 - singular they)
Nobody knows what [they:t.Personal] are doing all the time.; Никто не знает, что делает всё время.; 0;  
Someone said [they:t.Personal] would be here by noon.; Кто-то сказал, что они будут здесь к полудню.; 0;  
If anyone arrives early, [they:t.Personal] can wait in the lobby.; Если кто-то придёт рано, они могут подождать в холле.; 0;  
Every employee should ensure [they:t.Personal] meet the deadline.; Каждый сотрудник должен убедиться, что они уложились в срок.; 0;  

# personal-subj.noun2pronoun
John is reading a book → [He:t.Personal] is reading a book; Он читает книгу.;0;
The cat is sleeping on the couch → [It:t.Personal] is sleeping on the couch; Он/Она спит на диване.;0;
My friends and I are going to the park → [We:t.Personal] are going to the park; Мы идём в парк.;0;
Sarah and Tom love pizza → [They:t.Personal] love pizza; Они любят пиццу.;0;
The teacher is explaining the lesson → [He/She:t.Personal] is explaining the lesson; Он/Она объясняет урок.;0;
This car is very fast → [It:t.Personal] is very fast; Она очень быстрая.;0;
Mike and I work together → [We:t.Personal] work together; Мы работаем вместе.;0;
Your brother likes football → [He:t.Personal] likes football; Он любит футбол.;0;
The flowers are blooming → [They:t.Personal] are blooming; Они цветут.;0;
The book is on the table → [It:t.Personal] is on the table; Она на столе.;0;

80;He saw [me:Type.personal-obj,s1].;Он видел меня.;0;
81;They invited [me:Type.personal-obj,s1] to the party.;Они пригласили меня на вечеринку.;0;
82;She found [me:Type.personal-obj,s1] in the garden.;Она нашла меня в саду.;0;
83;The teacher praised [me:Type.personal-obj,s1].;Учитель похвалил меня.;0;
84;They accused [me:Type.personal-obj,s1] of cheating.;Они обвинили меня в обмане.;0;
85;She gave [me:Type.personal-obj,s1] a gift.;Она дала мне подарок.;0;
86;They sent [me:Type.personal-obj,s1] a letter.;Они отправили мне письмо.;0;
87;Can you pass [me:Type.personal-obj,s1] the salt?;Можешь передать мне соль?;0;
88;The book belongs to [me:Type.personal-obj,s1].;Эта книга принадлежит мне.;0;
89;Tell [me:Type.personal-obj,s1] the truth.;Скажи мне правду.;0;
90;Please help [me:Type.personal-obj,s1].;Пожалуйста, помоги мне.;0;
91;They saw [me:Type.personal-obj,s1] yesterday.;Они видели меня вчера.;0;
92;He invited [me:Type.personal-obj,s1] to dinner.;Он пригласил меня на ужин.;0;
93;She called [me:Type.personal-obj,s1] last night.;Она звонила мне вчера вечером.;0;
94;The dog followed [me:Type.personal-obj,s1] home.;Собака пошла за мной домой.;0;
95;She is happy with [me:Type.personal-obj,s1].;Она счастлива со мной.;0;
96;They worked with [me:Type.personal-obj,s1] on the project.;Они работали со мной над проектом.;0;
97;The teacher was impressed by [me:Type.personal-obj,s1].;Учитель был впечатлён мной.;0;
98;He argued with [me:Type.personal-obj,s1] about politics.;Он спорил со мной о политике.;0;
99;They danced with [me:Type.personal-obj,s1] at the party.;Они танцевали со мной на вечеринке.;0;
100;She always talks about [me:Type.personal-obj,s1].;Она всегда говорит обо мне.;0;
101;What do you think about [me:Type.personal-obj,s1]?;Что ты думаешь обо мне?;0;
102;They wrote a story about [me:Type.personal-obj,s1].;Они написали историю обо мне.;0;
103;The article is about [me:Type.personal-obj,s1].;Эта статья обо мне.;0;
104;Don’t worry about [me:Type.personal-obj,s1].;Не переживай обо мне.;0;
105;I saw [you:Type.personal-obj,s2].;Я видел тебя вчера.;0;
106;They invited [you:Type.personal-obj,p2] to the meeting.;Они пригласили вас на встречу.;0;
107;She remembered [you:Type.personal-obj,s2] from school.;Она вспомнила тебя из школы.;0;
108;They accused [you:Type.personal-obj,s2] of lying.;Они обвинили тебя во лжи.;0;
109;I need to talk to [you:Type.personal-obj,s2].;Мне нужно поговорить с тобой.;0;
110;She gave [you:Type.personal-obj,s2] a gift.;Она дала тебе подарок.;0;
111;They sent [you:Type.personal-obj,p2] a letter.;Они отправили вам письмо.;0;
112;Can I show [you:Type.personal-obj,s2] something?;Могу показать тебе что-то?;0;
113;The book belongs to [you:Type.personal-obj,p2].;Эта книга принадлежит вам.;0;
114;Tell [you:Type.personal-obj,s2] the truth.;Скажи тебе правду.;0;
115;Please help [you:Type.personal-obj,s2] with the project.;Пожалуйста, помоги тебе с проектом.;0;
116;They saw [you:Type.personal-obj,p2] at the party.;Они видели вас на вечеринке.;0;
117;She called [you:Type.personal-obj,s2] last night.;Она звонила тебе вчера вечером.;0;
118;He invited [you:Type.personal-obj,s2] to dinner.;Он пригласил тебя на ужин.;0;
119;I trust [you:Type.personal-obj,s2].;Я доверяю тебе.;0;
120;They worked with [you:Type.personal-obj,s2] on the project.;Они работали с тобой над проектом.;0;
121;She danced with [you:Type.personal-obj,p2] at the party.;Она танцевала с вами на вечеринке.;0;
122;The teacher was impressed by [you:Type.personal-obj,s2].;Учитель был впечатлён тобой.;0;
123;He argued with [you:Type.personal-obj,s2] about politics.;Он спорил с тобой о политике.;0;
124;They traveled with [you:Type.personal-obj,s2] last summer.;Они путешествовали с тобой прошлым летом.;0;
125;They talked about [you:Type.personal-obj,s2] yesterday.;Они говорили о тебе вчера.;0;
126;The story is about [you:Type.personal-obj,s2].;История о тебе.;0;
127;She always thinks about [you:Type.personal-obj,s2].;Она всегда думает о тебе.;0;
128;Don’t worry about [you:Type.personal-obj,s2].;Не переживай о тебе.;0;
129;What do you know about [yourself:Type.personal-obj,s2]?;Что ты знаешь о себе?;0;
130;I saw [him:Type.personal-obj,s3m].;Я видел его в парке.;0;
131;They accused [him:Type.personal-obj,s3m] of lying.;Они обвинили его во лжи.;0;
132;She found [him:Type.personal-obj,s3m] sleeping.;Она нашла его спящим.;0;
133;The teacher praised [him:Type.personal-obj,s3m] for his work.;Учитель похвалил его за работу.;0;
134;I met [him:Type.personal-obj,s3m] yesterday.;Я встретил его вчера.;0;
135;She gave [him:Type.personal-obj,s3m] a gift.;Она дала ему подарок.;0;
136;They sent [him:Type.personal-obj,s3m] a letter.;Они отправили ему письмо.;0;
137;Can you show [him:Type.personal-obj,s3m] the way?;Можешь показать ему дорогу?;0;
138;The dog belongs to [him:Type.personal-obj,s3m].;Собака принадлежит ему.;0;
139;Tell [him:Type.personal-obj,s3m] the truth.;Скажи ему правду.;0;
140;They invited [him:Type.personal-obj,s3m] to the meeting.;Они пригласили его на встречу.;0;
141;She called [him:Type.personal-obj,s3m] yesterday.;Она звонила ему вчера.;0;
142;The dog followed [him:Type.personal-obj,s3m] home.;Собака пошла за ним домой.;0;
143;Please help [him:Type.personal-obj,s3m] with his project.;Пожалуйста, помогите ему с его проектом.;0;
144;I don't trust [him:Type.personal-obj,s3m].;Я не доверяю ему.;0;
145;They worked with [him:Type.personal-obj,s3m] on the project.;Они работали с ним над проектом.;0;
146;She danced with [him:Type.personal-obj,s3m] at the party.;Она танцевала с ним на вечеринке.;0;
147;The teacher was impressed by [him:Type.personal-obj,s3m].;Учитель был впечатлён им.;0;
148;He argued with [him:Type.personal-obj,s3m] about politics.;Он спорил с ним о политике.;0;
149;They traveled with [him:Type.personal-obj,s3m] last summer.;Они путешествовали с ним прошлым летом.;0;
150;They talked about [him:Type.personal-obj,s3m] yesterday.;Они говорили о нём вчера.;0;
151;The story is about [him:Type.personal-obj,s3m].;История о нём.;0;
152;She always thinks about [him:Type.personal-obj,s3m].;Она всегда думает о нём.;0;
153;Don’t worry about [him:Type.personal-obj,s3m].;Не переживай о нём.;0;
154;What do you know about [him:Type.personal-obj,s3m]?;Что ты знаешь о нём?;0;
155;I saw [her:Type.personal-obj,s3f] at the store.;Я видел её в магазине.;0;
156;They accused [her:Type.personal-obj,s3f] of cheating.;Они обвинили её в обмане.;0;
